size	colour	x	xend	y	yend	key	showSelected2	showSelected4	PANEL
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	45	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	45	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	45	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	45	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	45	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	45	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	45	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	45	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	45	LOPART	1
1.5	#000000	16.5	25.5	10.7555140167278	10.7555140167278	17 25	45	LOPART	1
1.5	#000000	25.5	30.5	6.70216254532261	6.70216254532261	26 30	45	LOPART	1
1.5	#000000	30.5	33.5	7.71135445289057	7.71135445289057	31 33	45	LOPART	1
1.5	#000000	33.5	43.5	6.17249733019624	6.17249733019624	34 43	45	LOPART	1
1.5	#000000	43.5	45.5	8.26302069873421	8.26302069873421	44 45	45	LOPART	1
1.5	#000000	45.5	62.5	7.8709667865867	7.8709667865867	46 62	45	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	46	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	46	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	46	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	46	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	46	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	46	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	46	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	46	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	46	LOPART	1
1.5	#000000	16.5	25.5	10.7555140167278	10.7555140167278	17 25	46	LOPART	1
1.5	#000000	25.5	30.5	6.70216254532261	6.70216254532261	26 30	46	LOPART	1
1.5	#000000	30.5	33.5	7.71135445289057	7.71135445289057	31 33	46	LOPART	1
1.5	#000000	33.5	43.5	6.17249733019624	6.17249733019624	34 43	46	LOPART	1
1.5	#000000	43.5	46.5	8.50565394434958	8.50565394434958	44 46	46	LOPART	1
1.5	#000000	46.5	62.5	7.8009696835246	7.8009696835246	47 62	46	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	47	LOPART	1
