size	colour	x	xend	y	yend	key	showSelected2	showSelected4	PANEL
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	20	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	20	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	20	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	20	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	20	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	20	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	20	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	20	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	20	LOPART	1
1.5	#000000	16.5	20.5	10.5898762864008	10.5898762864008	17 20	20	LOPART	1
1.5	#000000	20.5	37.5	7.98250140105446	7.98250140105446	21 37	20	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	21	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	21	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	21	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	21	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	21	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	21	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	21	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	21	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	21	LOPART	1
1.5	#000000	16.5	21.5	10.8900648701705	10.8900648701705	17 21	21	LOPART	1
1.5	#000000	21.5	37.5	7.72573153829229	7.72573153829229	22 37	21	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	22	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	22	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	22	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	22	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	22	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	22	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	22	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	22	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	22	LOPART	1
1.5	#000000	16.5	22.5	10.5417330885347	10.5417330885347	17 22	22	LOPART	1
1.5	#000000	22.5	37.5	7.65410869548803	7.65410869548803	23 37	22	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	23	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	23	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	23	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	23	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	23	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	23	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	23	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	23	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	23	LOPART	1
1.5	#000000	16.5	23.5	10.6914338187855	10.6914338187855	17 23	23	LOPART	1
1.5	#000000	23.5	37.5	7.37299944514503	7.37299944514503	24 37	23	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	24	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	24	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	24	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	24	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	24	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	24	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	24	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	24	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	24	LOPART	1
1.5	#000000	16.5	24.5	10.8493360467152	10.8493360467152	17 24	24	LOPART	1
1.5	#000000	24.5	37.5	7.0205646607544	7.0205646607544	25 37	24	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	25	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	25	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	25	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	25	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	25	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	25	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	25	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	25	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	25	LOPART	1
1.5	#000000	16.5	25.5	10.7555140167278	10.7555140167278	17 25	25	LOPART	1
1.5	#000000	25.5	37.5	6.77186690108159	6.77186690108159	26 37	25	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	26	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	26	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	26	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	26	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	26	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	26	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	26	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	26	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	26	LOPART	1
1.5	#000000	16.5	19.5	10.6424133303545	10.6424133303545	17 19	26	LOPART	1
1.5	#000000	19.5	26.5	9.91723996737717	9.91723996737717	20 26	26	LOPART	1
1.5	#000000	26.5	37.5	6.97400992734774	6.97400992734774	27 37	26	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	27	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	27	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	27	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	27	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	27	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	27	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	27	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	27	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	27	LOPART	1
1.5	#000000	16.5	19.5	10.6424133303545	10.6424133303545	17 19	27	LOPART	1
1.5	#000000	19.5	27.5	9.61223963428172	9.61223963428172	20 27	27	LOPART	1
1.5	#000000	27.5	37.5	6.92368718982116	6.92368718982116	28 37	27	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	28	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	28	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	28	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	28	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	28	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	28	LOPART	1
1.5	#000000	12.5	14.5	9.28381783377364	9.28381783377364	13 14	28	LOPART	1
1.5	#000000	14.5	15.5	11.7822289603086	11.7822289603086	15 15	28	LOPART	1
1.5	#000000	15.5	16.5	7.68893091539482	7.68893091539482	16 16	28	LOPART	1
1.5	#000000	16.5	19.5	10.6424133303545	10.6424133303545	17 19	28	LOPART	1
1.5	#000000	19.5	28.5	9.25570654506915	9.25570654506915	20 28	28	LOPART	1
1.5	#000000	28.5	37.5	6.98149222964922	6.98149222964922	29 37	28	LOPART	1
1.5	#000000	0.5	2.5	9.64396731901088	9.64396731901088	1 2	29	LOPART	1
1.5	#000000	2.5	3.5	11.5878453312088	11.5878453312088	3 3	29	LOPART	1
1.5	#000000	3.5	4.5	8.86962432575371	8.86962432575371	4 4	29	LOPART	1
1.5	#000000	4.5	8.5	10.1301063082325	10.1301063082325	5 8	29	LOPART	1
1.5	#000000	8.5	9.5	11.9844739366529	11.9844739366529	9 9	29	LOPART	1
1.5	#000000	9.5	12.5	10.4202055053789	10.4202055053789	10 12	29	LOPART	1
